model_name,threshold,positive_rate_pr_auc_baseline,pr_auc,roc_auc,precision,recall,f1_score,accuracy,true_negative,false_positive,false_negative,true_positive,training_seconds,inference_seconds,inference_ms_per_order
selected_model,0.05,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05375069715560513,0.9974126778783958,0.10200436594562413,0.06172242189659939,122,13573,2,771,0.0,0.0,0.0
selected_model,0.06,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.053913653913653915,0.9935316946959897,0.10227726727926488,0.06815040088471108,218,13477,5,768,0.0,0.0,0.0
selected_model,0.07,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.054075068919205486,0.9896507115135834,0.10254691689008043,0.07450926181918717,313,13382,8,765,0.0,0.0,0.0
selected_model,0.08,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05414080890220415,0.981888745148771,0.10262303948080043,0.08252695604091789,435,13260,14,759,0.0,0.0,0.0
selected_model,0.09,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.054481166113436286,0.9767141009055628,0.10320552252067527,0.09310201824716616,592,13103,18,755,0.0,0.0,0.0
selected_model,0.1,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05502374862988674,0.9741267787839586,0.10416378475584452,0.10478296931158419,763,12932,20,753,0.0,0.0,0.0
selected_model,0.11,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.0556792873051225,0.9702457956015524,0.10531489152566173,0.11922864252142659,975,12720,23,750,0.0,0.0,0.0
selected_model,0.12,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.056480156638301075,0.9702457956015524,0.1067463706233988,0.13243019076582804,1166,12529,23,750,0.0,0.0,0.0
selected_model,0.13,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05717128424919639,0.9663648124191462,0.10795577715152829,0.14673762786839922,1376,12319,26,747,0.0,0.0,0.0
selected_model,0.14,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05810873967907774,0.9650711513583441,0.10961722136507236,0.162358307990047,1603,12092,27,746,0.0,0.0,0.0
selected_model,0.15,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05894469973062906,0.96248382923674,0.11108622620380738,0.17701133536079625,1817,11878,29,744,0.0,0.0,0.0
selected_model,0.16,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.05980899967627064,0.9560155239327296,0.11257521517251885,0.1947055570915123,2078,11617,34,739,0.0,0.0,0.0
selected_model,0.17,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.06096752816434725,0.9521345407503234,0.11459711950175165,0.21392037600221178,2359,11336,37,736,0.0,0.0,0.0
selected_model,0.18,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.06200034019391053,0.943078913324709,0.11635144840794828,0.23465579209289467,2666,11029,44,729,0.0,0.0,0.0
selected_model,0.19,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.06366187302700807,0.9391979301423027,0.11924119241192412,0.2587088747580868,3017,10678,47,726,0.0,0.0,0.0
selected_model,0.2,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.065323897659227,0.9314359637774903,0.12208562950402713,0.28428255460326235,3393,10302,53,720,0.0,0.0,0.0
selected_model,0.21,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.06694284907259203,0.9197930142302717,0.12480252764612954,0.3107547691457009,3785,9910,62,711,0.0,0.0,0.0
selected_model,0.22,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.06829555490138357,0.9003880983182406,0.12696096315213426,0.3384019905999447,4200,9495,77,696,0.0,0.0,0.0
selected_model,0.23,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.07028589121684384,0.8809831824062095,0.13018543299560315,0.37102571191595246,4687,9008,92,681,0.0,0.0,0.0
selected_model,0.24,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.07239476247159399,0.8654592496765847,0.13361294188136608,0.4003317666574509,5123,8572,104,669,0.0,0.0,0.0
selected_model,0.25,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.07471002956561291,0.8499353169469599,0.13734713076199437,0.4295687033453138,5558,8137,116,657,0.0,0.0,0.0
selected_model,0.26,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.07774702130220243,0.8357050452781372,0.14225941422594143,0.46157036217860103,6032,7663,127,646,0.0,0.0,0.0
selected_model,0.27,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.07999491288312349,0.8137128072445019,0.14566929133858267,0.4900470002764722,6461,7234,144,629,0.0,0.0,0.0
selected_model,0.28,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.08278457196613359,0.796895213454075,0.14998782566350133,0.5174177495161736,6870,6825,157,616,0.0,0.0,0.0
selected_model,0.29,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.08527572484366117,0.7761966364812419,0.1536688436419516,0.543198783522256,7259,6436,173,600,0.0,0.0,0.0
selected_model,0.3,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.08838268792710706,0.7529107373868047,0.15819516172873063,0.571882775781034,7692,6003,191,582,0.0,0.0,0.0
selected_model,0.31,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.09045549653951392,0.7270375161707633,0.16089321500143144,0.5948299695880565,8044,5651,211,562,0.0,0.0,0.0
selected_model,0.32,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.09378743795995208,0.7089262613195343,0.1656590084643289,0.6184683439314349,8400,5295,225,548,0.0,0.0,0.0
selected_model,0.33,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.09801058587333455,0.6946959896507116,0.17178502879078694,0.6421067182748134,8753,4942,236,537,0.0,0.0,0.0
selected_model,0.34,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.10213592233009709,0.6804657179818887,0.1776126962687827,0.6633259607409455,9071,4624,247,526,0.0,0.0,0.0
selected_model,0.35,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.10573955976136598,0.6649417852522639,0.1824636137735179,0.6816422449543821,9348,4347,259,514,0.0,0.0,0.0
selected_model,0.36,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.11001749781277341,0.6507115135834411,0.1882132834424696,0.7000967652750899,9626,4069,270,503,0.0,0.0,0.0
selected_model,0.37,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.11452513966480447,0.6364812419146184,0.19412112842769777,0.7176527508985348,9891,3804,281,492,0.0,0.0,0.0
selected_model,0.38,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.11721432074546347,0.6183699870633894,0.19707276850133992,0.7307851810893006,10095,3600,295,478,0.0,0.0,0.0
selected_model,0.39,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.12130718954248366,0.6002587322121604,0.20182688125271858,0.7463367431573127,10334,3361,309,464,0.0,0.0,0.0
selected_model,0.4,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.12678421494542402,0.5860284605433377,0.20846755637367695,0.762233895493503,10575,3120,320,453,0.0,0.0,0.0
selected_model,0.41,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.13070725156669652,0.5666235446313066,0.21241513094083414,0.7755045617915399,10782,2913,335,438,0.0,0.0,0.0
selected_model,0.42,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.1365681233933162,0.5498059508408797,0.2187902187902188,0.7902267072159248,11008,2687,348,425,0.0,0.0,0.0
selected_model,0.43,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.13987473903966596,0.5200517464424321,0.22045516863175213,0.8034973735139619,11223,2472,371,402,0.0,0.0,0.0
selected_model,0.44,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.1404367469879518,0.48253557567917205,0.21755613881598135,0.8145562620956593,11412,2283,400,373,0.0,0.0,0.0
selected_model,0.45,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.14383838383838385,0.46054333764553684,0.21921182266009853,0.824716615980094,11576,2119,417,356,0.0,0.0,0.0
selected_model,0.46,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.1498457470251212,0.4398447606727037,0.2235371466140697,0.8367431573126901,11766,1929,433,340,0.0,0.0,0.0
selected_model,0.47,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.15564017134697763,0.4230271668822768,0.22755741127348644,0.8465579209289467,11921,1774,446,327,0.0,0.0,0.0
selected_model,0.48,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.16317991631799164,0.4036222509702458,0.2324022346368715,0.8575476914570086,12095,1600,461,312,0.0,0.0,0.0
selected_model,0.49,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.16773442050087362,0.37257438551099614,0.23132530120481928,0.8677080453414432,12266,1429,485,288,0.0,0.0,0.0
selected_model,0.5,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.17472598323662153,0.35058214747736094,0.2332185886402754,0.8768316284213437,12415,1280,502,271,0.0,0.0,0.0
selected_model,0.51,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.17801418439716313,0.32470892626131953,0.22995877233165368,0.8838125518385402,12536,1159,522,251,0.0,0.0,0.0
selected_model,0.52,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.18203125,0.3014230271668823,0.22698490014612763,0.8903096488802875,12648,1047,540,233,0.0,0.0,0.0
selected_model,0.53,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.1917326297273527,0.2820181112548512,0.22827225130890053,0.8981199889411114,12776,919,555,218,0.0,0.0,0.0
selected_model,0.54,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.19646365422396855,0.258732212160414,0.22333891680625348,0.903856787392867,12877,818,573,200,0.0,0.0,0.0
selected_model,0.55,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.2113289760348584,0.25097024579560157,0.22945002956830277,0.9099391761128006,12971,724,579,194,0.0,0.0,0.0
selected_model,0.56,0.053428255460326236,0.15238181046897423,0.7294054023928241,0.21802679658952498,0.2315653298835705,0.2245922208281054,0.9145700857063865,13053,642,594,179,0.0,0.0,0.0
