feature,category,count,rate,rank
customer_state,SP,27199,0.40284072395509346,1
customer_state,RJ,8964,0.1327645961077046,2
customer_state,MG,8127,0.12036790189282857,3
customer_state,RS,3910,0.05791048313042448,4
customer_state,PR,3461,0.05126040463283865,5
customer_state,SC,2576,0.038152788885926714,6
customer_state,BA,2307,0.034168666133475516,7
customer_state,ES,1445,0.021401700287330787,8
customer_state,GO,1409,0.02086850913830386,9
customer_state,DF,1405,0.02080926567730087,10
customer_state,PE,1117,0.016543736485085458,11
customer_state,CE,947,0.014025889392458307,12
customer_state,PA,718,0.010634201250037027,13
customer_state,MT,640,0.009478953760478687,14
customer_state,MA,547,0.008101543292159128,15
customer_state,MS,502,0.0074350543558754706,16
customer_state,PB,370,0.005480020142776741,17
customer_state,RN,349,0.005168991972511034,18
customer_state,PI,348,0.0051541811072602865,19
customer_state,AL,298,0.004413637844722889,20
customer_state,SE,246,0.0036434728516839955,21
customer_state,TO,197,0.002917740454397346,22
customer_state,RO,185,0.0027400100713883707,23
customer_state,AM,105,0.0015551408513285346,24
customer_state,AC,66,0.0009775171065493646,25
customer_state,AP,51,0.0007553541277881454,26
customer_state,RR,29,0.0004295150922716905,27
delivery_scope,cross_state_or_missing,44448,0.6583133386652448,1
delivery_scope,same_state,23070,0.34168666133475517,2
multi_item_group,single_item,60762,0.8999377943659469,1
multi_item_group,multi_item,6756,0.10006220563405314,2
multi_seller_group,single_seller,66742,0.9885067685654196,1
multi_seller_group,multi_seller,776,0.011493231434580408,2
primary_payment_type,credit_card,50732,0.751384815900945,1
primary_payment_type,boleto,13887,0.20567848573713676,2
primary_payment_type,voucher,2201,0.032598714416896234,3
primary_payment_type,debit_card,698,0.010337983945022068,4
primary_seller_state,SP,47834,0.7084629284042774,1
primary_seller_state,MG,5638,0.08350365828371693,2
primary_seller_state,PR,5368,0.07950472466601499,3
primary_seller_state,RJ,2691,0.03985603838976273,4
primary_seller_state,SC,2583,0.03825646494268195,5
primary_seller_state,RS,1283,0.019002340116709617,6
primary_seller_state,DF,587,0.008693977902189046,7
primary_seller_state,BA,407,0.0060280221570544155,8
primary_seller_state,GO,299,0.004428448709973637,9
primary_seller_state,ES,253,0.003747148908439231,10
primary_seller_state,PE,210,0.003110281702657069,11
primary_seller_state,MT,106,0.0015699517165792827,12
primary_seller_state,MA,63,0.0009330845107971208,13
primary_seller_state,CE,55,0.0008145975887911372,14
primary_seller_state,RN,45,0.0006664889362836577,15
primary_seller_state,MS,38,0.0005628128795284221,16
primary_seller_state,PB,19,0.00028140643976421104,17
primary_seller_state,RO,14,0.0002073521135104713,18
primary_seller_state,PA,8,0.0001184869220059836,19
primary_seller_state,SE,7,0.00010367605675523564,20
primary_seller_state,PI,7,0.00010367605675523564,21
primary_seller_state,AM,3,4.443259575224385e-05,22
purchase_hour,14,4539,0.06722651737314495,1
purchase_hour,16,4469,0.06618975680559258,2
purchase_hour,11,4449,0.06589353950057762,3
purchase_hour,15,4442,0.06578986344382239,4
purchase_hour,13,4409,0.0653011048905477,5
purchase_hour,21,4193,0.062101957996386146,6
purchase_hour,17,4189,0.06204271453538316,7
purchase_hour,10,4187,0.06201309280488166,8
purchase_hour,20,4143,0.06136141473384875,9
purchase_hour,19,4059,0.060117302052785926,10
purchase_hour,22,4021,0.0595544891732575,11
purchase_hour,12,4020,0.05953967830800675,12
purchase_hour,18,3877,0.0574217245771498,13
purchase_hour,9,3211,0.04755768832015166,14
purchase_hour,23,2912,0.043129239610178026,15
purchase_hour,8,1951,0.028895998104209248,16
purchase_hour,0,1661,0.024600847181492344,17
