feature,feature_type,train_missing_rate,validation_missing_rate,train_mean,validation_mean,mean_difference,psi_or_tvd,validation_unseen_rate
purchase_month,categorical,0.0,0.0,,,,0.8193666874018781,0.0
purchase_year,categorical,0.0,0.0,,,,0.6469089724221688,0.0
approval_delay_hours,numeric,0.0,0.0,9.930548277660936,11.281925340982399,1.351377063321463,0.4673170063208149,0.0
total_freight,numeric,0.0,0.0,22.24622856127255,23.432862178601052,1.1866336173285035,0.26571050754842823,0.0
maximum_freight_per_item,numeric,0.0,0.0,19.804058917621965,20.735957285042854,0.9318983674208887,0.23827818012529,0.0
average_freight_per_item,numeric,0.0,0.0,19.64035366419524,20.566327451716102,0.9259737875208636,0.22338297722112074,0.0
seller_shipping_window_days,numeric,0.0,0.0,6.888443829244986,6.4095131337101545,-0.4789306955348316,0.1920369131088109,0.0
promised_delivery_days,numeric,0.0,0.0,24.593362149380194,24.980073552328765,0.38671140294857054,0.11042619945204568,0.0
purchase_weekday,categorical,0.0,0.0,,,,0.05137911267365125,0.0
customer_state,categorical,0.0,0.0,,,,0.050554169591065234,0.0
primary_seller_state,categorical,0.0,0.0,,,,0.04397642970158551,0.0
primary_payment_type,categorical,0.0,0.0,,,,0.030784803139932877,0.0
purchase_hour,categorical,0.0,0.0,,,,0.024926714880557803,0.0
maximum_item_price,numeric,0.0,0.0,124.8478528688646,131.69939452585015,6.851541656985546,0.014206538095434143,0.0
freight_to_price_ratio,numeric,0.0,0.0,0.3063209804960384,0.30423801109196197,-0.002082969404076429,0.01325226914457761,0.0
average_item_price,numeric,0.0,0.0,124.23946952901704,130.63598768052978,6.396518151512737,0.012741293543521742,0.0
average_product_volume_cm3,numeric,0.0002369738440119672,0.0,15842.769013674246,14221.102201080876,-1621.6668125933702,0.011790625042794232,0.0
minimum_item_price,numeric,0.0,0.0,123.68206567137653,129.78022739839648,6.098161727019942,0.01114540806685155,0.0
maximum_installments,numeric,0.0,0.0,2.9749844485914867,2.868053635609621,-0.10693081298186558,0.010709616178304853,0.0
average_product_weight_g,numeric,0.0002369738440119672,0.0,2171.6590579134354,2067.049349467462,-104.60970844597341,0.010277553929902447,0.0
maximum_product_volume_cm3,numeric,0.0002369738440119672,0.0,15977.793739444756,14406.260160353884,-1571.533579090872,0.010273057035231556,0.0
average_installments,numeric,0.0,0.0,2.9577871212324247,2.8552138051792464,-0.10257331605317832,0.010075593049339426,0.0
total_product_weight_g,numeric,0.0002369738440119672,0.0,2465.976385884863,2387.1197815869505,-78.85660429791233,0.009360981147794961,0.0
maximum_product_weight_g,numeric,0.0002369738440119672,0.0,2192.006251666617,2092.893212607133,-99.11303905948398,0.009358562529535541,0.0
total_product_volume_cm3,numeric,0.0002369738440119672,0.0,18088.391825427396,16529.303912081836,-1559.08791334556,0.008812427741318584,0.0
total_item_price,numeric,0.0,0.0,135.8890364051068,144.20469518938347,8.315658784276678,0.00750332552791258,0.0
total_payment_value,numeric,0.0,0.0,158.17395746319502,167.6469670998065,9.473009636611465,0.006887083342439557,0.0
average_payment_value,numeric,0.0,0.0,155.45283220447118,165.19742116427716,9.74458895980598,0.005995770525585357,0.0
maximum_payment_value,numeric,0.0,0.0,156.61776504043368,166.28102847663808,9.663263436204403,0.00598178338348461,0.0
minimum_payment_value,numeric,0.0,0.0,154.3380209721852,164.12854782969313,9.790526857507928,0.005567215515988832,0.0
maximum_product_photos,numeric,0.017713794839894548,0.004492673486314626,2.258330569041947,2.278414219259876,0.02008365021792935,0.002112497286539489,0.0
average_product_photos,numeric,0.017713794839894548,0.004492673486314626,2.245497139040005,2.2617948311033085,0.016297692063303337,0.0018395582879603034,0.0
unique_category_count,numeric,0.0,0.0,0.9889659053881927,1.0055294442908487,0.01656353890265594,0.0011944273511488546,0.0
item_count,numeric,0.0,0.0,1.1420510086199236,1.1548244401437655,0.012773431523841916,0.0003923735987777721,0.0
unique_seller_count,numeric,0.0,0.0,1.012056044314109,1.0186618744816145,0.0066058301675056,0.0,0.0
unique_seller_state_count,numeric,0.0,0.0,1.0046802334192364,1.006358860934476,0.0016786275152396168,0.0,0.0
same_state_delivery,numeric,0.0,0.0,0.34168666133475517,0.39341996129388995,0.05173329995913478,0.0,0.0
unique_product_count,numeric,0.0,0.0,1.0377084629284044,1.0416781863422726,0.0039697234138682536,0.0,0.0
missing_weight_item_count,numeric,0.0,0.0,0.00026659557451346307,0.0,-0.00026659557451346307,0.0,0.0
payment_type_count,numeric,0.0,0.0,1.0240232234367133,1.0199059994470556,-0.004117223989657637,0.0,0.0
payment_count,numeric,0.0,0.0,1.0476317426464055,1.0406414155377384,-0.006990327108667094,0.0,0.0
missing_category_item_count,numeric,0.0,0.0,0.02035012885452768,0.005322090129941941,-0.01502803872458574,0.0,0.0
missing_volume_item_count,numeric,0.0,0.0,0.00026659557451346307,0.0,-0.00026659557451346307,0.0,0.0
used_boleto,numeric,0.0,0.0,0.20567848573713676,0.17943046723804257,-0.026248018499094194,0.0,0.0
used_voucher,numeric,0.0,0.0,0.0404336621345419,0.03407520044235554,-0.00635846169218636,0.0,0.0
used_credit_card,numeric,0.0,0.0,0.7675730916200124,0.7910561238595522,0.023483032239539736,0.0,0.0
used_debit_card,numeric,0.0,0.0,0.010337983945022068,0.015344207907105336,0.005006223962083268,0.0,0.0
