column,missing_count,missing_rate,dtype
average_product_photos,1196,0.017713794839894548,float64
maximum_product_photos,1196,0.017713794839894548,float64
average_product_volume_cm3,16,0.0002369738440119672,float64
average_product_weight_g,16,0.0002369738440119672,float64
maximum_product_volume_cm3,16,0.0002369738440119672,float64
maximum_product_weight_g,16,0.0002369738440119672,float64
total_product_volume_cm3,16,0.0002369738440119672,float64
total_product_weight_g,16,0.0002369738440119672,float64
actual_delivery_days,0,0.0,float64
approval_delay_hours,0,0.0,float64
average_freight_per_item,0,0.0,float64
average_installments,0,0.0,float64
average_item_price,0,0.0,float64
average_payment_value,0,0.0,float64
customer_id,0,0.0,str
customer_state,0,0.0,str
customer_unique_id,0,0.0,str
delivery_scope,0,0.0,str
freight_to_price_ratio,0,0.0,float64
item_count,0,0.0,int64
late_delivery,0,0.0,int32
lateness_days,0,0.0,float64
maximum_freight_per_item,0,0.0,float64
maximum_installments,0,0.0,int64
maximum_item_price,0,0.0,float64
maximum_payment_value,0,0.0,float64
minimum_item_price,0,0.0,float64
minimum_payment_value,0,0.0,float64
missing_category_item_count,0,0.0,float64
missing_volume_item_count,0,0.0,float64
missing_weight_item_count,0,0.0,float64
multi_item_group,0,0.0,str
multi_seller_group,0,0.0,str
order_approved_at,0,0.0,datetime64[us]
order_id,0,0.0,str
order_purchase_timestamp,0,0.0,datetime64[us]
payment_count,0,0.0,int64
payment_type_count,0,0.0,int64
primary_payment_type,0,0.0,str
primary_seller_state,0,0.0,str
promised_delivery_days,0,0.0,float64
purchase_hour,0,0.0,int64
purchase_month,0,0.0,int64
purchase_period,0,0.0,str
purchase_weekday,0,0.0,int64
purchase_year,0,0.0,int64
same_state_delivery,0,0.0,int32
seller_customer_route,0,0.0,str
seller_shipping_window_days,0,0.0,float64
total_freight,0,0.0,float64
total_item_price,0,0.0,float64
total_payment_value,0,0.0,float64
unique_category_count,0,0.0,int64
unique_product_count,0,0.0,int64
unique_seller_count,0,0.0,int64
unique_seller_state_count,0,0.0,int64
used_boleto,0,0.0,int32
used_credit_card,0,0.0,int32
used_debit_card,0,0.0,int32
used_voucher,0,0.0,int32
