column,non_missing_count,missing_count,mean,std,minimum,p01,p05,p25,median,p75,p95,p99,maximum,skewness,iqr_outlier_count,negative_count
actual_delivery_days,67518,0,13.823445729458427,10.2485305247913,0.5334143518518518,1.9605831018518518,3.3824988425925935,7.449892939814815,11.473935185185184,17.18901909722222,31.99633101851851,48.92218460648154,209.6286111111111,3.8680327151919065,3446,0
approval_delay_hours,67518,0,9.930548277660936,20.420731330025568,0.0,0.0,0.13634722222222231,0.20527777777777778,0.3075,13.44736111111111,47.948930555555556,87.16699166666672,741.4436111111111,5.085680871290038,7183,0
average_freight_per_item,67518,0,19.64035366419524,14.38363152727597,0.0,7.78,8.27,13.44,16.11,20.29,42.62149999999994,78.42,338.3,5.550009531358596,7102,0
average_installments,67518,0,2.9577871212324247,2.7383392855492765,1.0,1.0,1.0,1.0,2.0,4.0,10.0,10.0,24.0,1.5963767250637444,4586,0
average_item_price,67518,0,124.23946952901704,185.66977842999745,1.514285714285714,10.99,18.5,41.0,78.96000000000001,139.9,359.0,899.0,6735.0,7.802404619899381,5108,0
average_payment_value,67518,0,155.45283220447118,211.79885546150484,1.7374999999999998,20.3817,30.95,59.75125,102.03,173.4875,432.50599999999974,1025.5132,13664.08,10.297240688636142,5233,0
average_product_photos,66322,1196,2.245497139040005,1.7434065723775378,1.0,1.0,1.0,1.0,2.0,3.0,6.0,8.0,20.0,1.9378792812020875,1936,0
average_product_volume_cm3,67502,16,15842.769013674246,24160.29515895391,288.0,352.0,816.0,2880.0,6859.0,19540.25,58621.0,115934.0,294000.0,3.9984481277813377,5970,0
average_product_weight_g,67502,16,2171.6590579134354,3866.37726913759,2.0,100.0,133.0,300.0,700.0,1850.0,9850.0,19100.0,40425.0,3.579174940479375,9768,0
freight_to_price_ratio,67518,0,0.3063209804960384,0.29292837409330985,0.0,0.028937787458656376,0.05557989610064468,0.13294909824394874,0.2241184441256177,0.3775943985996499,0.8375838926174497,1.424242424242424,5.739495798319327,3.6746599718418853,4575,0
item_count,67518,0,1.1420510086199236,0.5416244661341159,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,21.0,8.108647605875456,6756,0
late_delivery,67518,0,0.09027222370330874,0.28657349086034145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8595800139913656,6095,0
maximum_freight_per_item,67518,0,19.804058917621965,14.525689693176458,0.0,7.78,8.27,13.5,16.14,20.78,43.07149999999994,79.16,338.3,5.459046004394859,7055,0
maximum_installments,67518,0,2.9749844485914867,2.755314565201199,1.0,1.0,1.0,1.0,2.0,4.0,10.0,10.0,24.0,1.59233936058865,4678,0
maximum_item_price,67518,0,124.8478528688646,186.0476941446363,2.29,10.99,18.75,41.9,79.0,139.9,359.9,899.0,6735.0,7.764772800488198,5163,0
maximum_payment_value,67518,0,156.61776504043368,212.65591777565587,4.07,21.77,31.77,60.63,102.78,174.1575,436.2159999999997,1031.69,13664.08,10.242550107614493,5261,0
maximum_product_photos,66322,1196,2.258330569041947,1.7574584028376214,1.0,1.0,1.0,1.0,2.0,3.0,6.0,8.0,20.0,1.9246803800661756,1989,0
maximum_product_volume_cm3,67502,16,15977.793739444756,24340.04396656151,288.0,352.0,816.0,2888.0,6912.0,19760.0,59499.399999999965,116754.0,294000.0,3.9694968770601773,5829,0
maximum_product_weight_g,67502,16,2192.006251666617,3894.9891323064685,2.0,100.0,138.0,300.0,700.0,1860.0,9950.0,19399.000000000524,40425.0,3.5526731266692675,9814,0
minimum_item_price,67518,0,123.68206567137653,185.60877379294527,1.2,10.9,18.0,39.99,77.83500000000001,139.65,359.0,899.0,6735.0,7.813156081840766,5031,0
